?supname	?sup	?subname	?sub
"A13 dopaminergic cell group"	<http://purl.obolibrary.org/obo/UBERON_0036007>	"dopaminergic A13 group"	<http://purl.obolibrary.org/obo/MBA_796>
"Ammon's horn"	<http://purl.obolibrary.org/obo/UBERON_0001954>	"hippocampal proper"	<http://purl.obolibrary.org/obo/DHBA_10296>
"Ammon's horn"	<http://purl.obolibrary.org/obo/UBERON_0001954>	"hippocampus (cortex Ammonis)"	<http://purl.obolibrary.org/obo/DMBA_16124>
"Ammon's horn"	<http://purl.obolibrary.org/obo/UBERON_0001954>	"ammon's horn"	<http://purl.obolibrary.org/obo/MBA_375>
"Ammon's horn"	<http://purl.obolibrary.org/obo/UBERON_0001954>	"hippocampal proper"	<http://purl.obolibrary.org/obo/PBA_128012244>
"Barrington's nucleus"	<http://purl.obolibrary.org/obo/UBERON_0007632>	"Barrington's nucleus"	<http://purl.obolibrary.org/obo/DHBA_12506>
"Barrington's nucleus"	<http://purl.obolibrary.org/obo/UBERON_0007632>	"nucleus of Barrington"	<http://purl.obolibrary.org/obo/DMBA_16973>
"Barrington's nucleus"	<http://purl.obolibrary.org/obo/UBERON_0007632>	"barrington's nucleus"	<http://purl.obolibrary.org/obo/MBA_280>
"Brodmann (1909) area 10"	<http://purl.obolibrary.org/obo/UBERON_0013541>	"rostral sulcus"	<http://purl.obolibrary.org/obo/DHBA_146034836>
"Brodmann (1909) area 18"	<http://purl.obolibrary.org/obo/UBERON_0006473>	"parastriate cortex (area V2, area 18)"	<http://purl.obolibrary.org/obo/DHBA_10271>
"Brodmann (1909) area 18"	<http://purl.obolibrary.org/obo/UBERON_0006473>	"parastriate cortex (V2, area 18)"	<http://purl.obolibrary.org/obo/PBA_10039>
"Brodmann (1909) area 24"	<http://purl.obolibrary.org/obo/UBERON_0006101>	"anterior cingulate area"	<http://purl.obolibrary.org/obo/MBA_31>
"Brodmann (1909) area 32"	<http://purl.obolibrary.org/obo/UBERON_0013560>	"prelimbic area"	<http://purl.obolibrary.org/obo/MBA_972>
"Brodmann (1909) area 36"	<http://purl.obolibrary.org/obo/UBERON_0006104>	"perirhinal-ectorhinal cortex"	<http://purl.obolibrary.org/obo/DMBA_16086>
"CA1 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003881>	"CA1 region of Hipp"	<http://purl.obolibrary.org/obo/DHBA_10297>
"CA1 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003881>	"Field CA1"	<http://purl.obolibrary.org/obo/DMBA_16131>
"CA1 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003881>	"CA1 field"	<http://purl.obolibrary.org/obo/HBA_12892>
"CA1 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003881>	"field CA1"	<http://purl.obolibrary.org/obo/MBA_382>
"CA1 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003881>	"CA1 region"	<http://purl.obolibrary.org/obo/PBA_10058>
"CA1 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014557>	"Field CA1, stratum lacunosum-moleculare"	<http://purl.obolibrary.org/obo/DMBA_16135>
