term,label
http://purl.obolibrary.org/obo/DHBA_12827,surface structures of cerebellum
http://purl.obolibrary.org/obo/DMBA_17507,r9 part of the basolateral reticular formation
http://purl.obolibrary.org/obo/MBA_261,spino-olivary pathway
http://purl.obolibrary.org/obo/DHBA_10896,layer II of area 10m
http://purl.obolibrary.org/obo/DHBA_13106,CP in rostral presubicular cortex
http://purl.obolibrary.org/obo/HBA_9060,rostral interstitial nucleus of the medial longitudinal fasciculus
http://purl.obolibrary.org/obo/DMBA_15938,layer 2 of VPrP cortex
http://purl.obolibrary.org/obo/DMBA_17208,ventricular zone of r4BM
http://purl.obolibrary.org/obo/DHBA_11739,CP in rostral subicular cortex
http://purl.obolibrary.org/obo/DHBA_11710,outer CP in lateral temporal-occipital cortex
http://purl.obolibrary.org/obo/DMBA_17078,superficial stratum of r2BI
http://purl.obolibrary.org/obo/DMBA_17381,lateral part of r7B
http://purl.obolibrary.org/obo/HBA_9128,"middle white layer of the superior colliculus, right"
http://purl.obolibrary.org/obo/HBA_265505630,"solitary tract, left"
http://purl.obolibrary.org/obo/DHBA_10821,layer I of area 8ld
http://purl.obolibrary.org/obo/DHBA_12117,inferior frontal gyrus
http://purl.obolibrary.org/obo/DMBA_17625,r11 part of the basolateral intermediate zone
http://purl.obolibrary.org/obo/DMBA_15861,superficial stratum of Str
http://purl.obolibrary.org/obo/DHBA_12540,ambiguus nucleus
http://purl.obolibrary.org/obo/MBA_316,"Ventral part of the lateral geniculate complex, medial zone"
http://purl.obolibrary.org/obo/DMBA_111220656,periventricular stratum of r2Ve
http://purl.obolibrary.org/obo/DHBA_11100,layer II of area 21i
http://purl.obolibrary.org/obo/DHBA_11751,outer CP in caudal perirhinal cortex
http://purl.obolibrary.org/obo/DMBA_16929,intermediate (interpositus) cerebellar nucleus
http://purl.obolibrary.org/obo/DMBA_16140,"Field CA2, stratum radiatum"
http://purl.obolibrary.org/obo/DHBA_12290,subbrachial nucleus
http://purl.obolibrary.org/obo/DMBA_112892309,periventricular stratum of isADL
http://purl.obolibrary.org/obo/DHBA_13223,transverse orbital sulcus
http://purl.obolibrary.org/obo/DHBA_266441125,layer V of area 44d
http://purl.obolibrary.org/obo/DMBA_126651674,"ventricles, roof plate of p2 (epithalamic roofplate)"
http://purl.obolibrary.org/obo/HBA_265505042,"comb fibers, right"
http://purl.obolibrary.org/obo/DHBA_10634,paracingulate sulcus
http://purl.obolibrary.org/obo/ABA_ENTITY,ABA entity
http://purl.obolibrary.org/obo/DMBA_16118,periventricular stratum of DG
http://purl.obolibrary.org/obo/DMBA_111220774,ventricular zone of r6A
http://purl.obolibrary.org/obo/DHBA_12890,spinal cord
http://purl.obolibrary.org/obo/PBA_128012494,outer ventricular zone of V1
http://purl.obolibrary.org/obo/DMBA_16040,layer 5 of OCx
http://purl.obolibrary.org/obo/DHBA_12323,medial tegmental zone
http://purl.obolibrary.org/obo/MBA_10678,"Crus 2, granular layer"
http://purl.obolibrary.org/obo/DHBA_10984,layer VI of area 5ci
http://purl.obolibrary.org/obo/DMBA_16452,suprageniculate nucleus
http://purl.obolibrary.org/obo/DHBA_267499047,layer II of area V5/MT
http://purl.obolibrary.org/obo/DMBA_17548,ventricular zone of r10Tr
http://purl.obolibrary.org/obo/DMBA_15634,"eye vesicle, stalk/nerve"
http://purl.obolibrary.org/obo/DMBA_16640,p1 portion of the paranigral nucleus
http://purl.obolibrary.org/obo/DHBA_13147,inner SZ in extrastriate cortex
http://purl.obolibrary.org/obo/DMBA_17166,mantle zone of r4Ve
http://purl.obolibrary.org/obo/MBA_551,"Central amygdalar nucleus, lateral part"
http://purl.obolibrary.org/obo/DMBA_16390,intermediate stratum of Hb
http://purl.obolibrary.org/obo/DMBA_17249,nucleus of the central acoustic tract
http://purl.obolibrary.org/obo/HBA_4039,"inferior frontal gyrus, triangular part, left"
http://purl.obolibrary.org/obo/DMBA_17713,periventricular stratum of SpBI
http://purl.obolibrary.org/obo/DMBA_16681,periventricular stratum of SC
http://purl.obolibrary.org/obo/DMBA_111220916,ventricular zone of r11A
http://purl.obolibrary.org/obo/MBA_312782566,"Anterior area, layer 6a"
http://purl.obolibrary.org/obo/MBA_592,"Cortical amygdalar area, posterior part, medial zone, layers 1-2"
http://purl.obolibrary.org/obo/DHBA_11141,layer I of area TH
http://purl.obolibrary.org/obo/DHBA_13062,anteromedial preoptic nucleus
http://purl.obolibrary.org/obo/DHBA_266441213,layer VI of area 45op
http://purl.obolibrary.org/obo/HBA_4688,"medial mammillary nucleus, right, medial part"
http://purl.obolibrary.org/obo/DHBA_10790,layer VI of area M1hf
http://purl.obolibrary.org/obo/DMBA_16423,ventral nuclei
http://purl.obolibrary.org/obo/DHBA_13264,molecular layer of CBLPs
http://purl.obolibrary.org/obo/PBA_10066,stratum radiatum of CA2
http://purl.obolibrary.org/obo/MBA_522,dorsal commissure of the spinal cord
http://purl.obolibrary.org/obo/DMBA_111220862,mantle zone of r8B
http://purl.obolibrary.org/obo/HBA_9333,"vestibulochochlear nerve, right"
http://purl.obolibrary.org/obo/DMBA_17295,mantle zone of r6Co
http://purl.obolibrary.org/obo/DHBA_10532,IZ in parietal neocortex
http://purl.obolibrary.org/obo/DHBA_10485,dorsomedial hypothalamic nucleus
http://purl.obolibrary.org/obo/DMBA_16408,ventral reuniens nucleus
http://purl.obolibrary.org/obo/HBA_9397,insular lobe sulci
http://purl.obolibrary.org/obo/HBA_265504452,"amygdalohippocampal area, left, magnocellular division"
http://purl.obolibrary.org/obo/DHBA_13319,GE part of RMSh
http://purl.obolibrary.org/obo/DMBA_17220,pontomedullary hindbrain
http://purl.obolibrary.org/obo/DMBA_16540,ventricular zone of PcPV
http://purl.obolibrary.org/obo/DHBA_13047,fasciculosus nucleus of thalamus
http://purl.obolibrary.org/obo/DMBA_15722,mammillary part of THyB
http://purl.obolibrary.org/obo/DHBA_11523,dorsolateral subdivision of basomedial nucleus
http://purl.obolibrary.org/obo/DMBA_16493,p2 part of the zona limitans core population
http://purl.obolibrary.org/obo/DHBA_12229,"dorsal raphe nucleus, ventrolateral part"
http://purl.obolibrary.org/obo/PBA_159658824,cortical hem
http://purl.obolibrary.org/obo/HBA_4426,"ventral posterior inferior nucleus of the thalamus, left"
http://purl.obolibrary.org/obo/HBA_9116,"stratum lemnisci of the superior colliculus, left"
http://purl.obolibrary.org/obo/HBA_9304,"olfactory nerve, right"
http://purl.obolibrary.org/obo/DHBA_11313,caudal subiculum
http://purl.obolibrary.org/obo/HBA_4127,"paracentral lobule, posterior part, left, lateral bank of gyrus"
http://purl.obolibrary.org/obo/MBA_129,third ventricle
http://purl.obolibrary.org/obo/MBA_680,"Orbital area, ventrolateral part, layer 6b"
http://purl.obolibrary.org/obo/DHBA_11041,layer III of area 20i
http://purl.obolibrary.org/obo/DMBA_17570,superficial stratum of r10BL
http://purl.obolibrary.org/obo/DHBA_10223,caudal subdivision of area 7
http://purl.obolibrary.org/obo/DHBA_12751,fastigial reticular tract
http://purl.obolibrary.org/obo/HBA_4168,transverse gyri
http://purl.obolibrary.org/obo/HBA_4090,"postcentral gyrus, left, bank of the posterior central sulcus"
http://purl.obolibrary.org/obo/PBA_128012250,marginal zone of CA1
http://purl.obolibrary.org/obo/MBA_898,Pontine central gray
http://purl.obolibrary.org/obo/DMBA_16231,superficial stratum of PPaA
http://purl.obolibrary.org/obo/DMBA_17383,mantle zone of r7BL
http://purl.obolibrary.org/obo/DHBA_12792,spinal trigeminal tract
http://purl.obolibrary.org/obo/HBA_265504812,"ventral posterior lateral nucleus of the thalamus, left, anterior division"
http://purl.obolibrary.org/obo/DHBA_10573,external capsule
http://purl.obolibrary.org/obo/HBA_9485,"nucleus of the brachium of the inferior colliculus, right"
http://purl.obolibrary.org/obo/DMBA_16900,periventricular mantle of isBM
http://purl.obolibrary.org/obo/DHBA_146034938,ventral tegmental region of midbrain
http://purl.obolibrary.org/obo/DMBA_16853,Koelliker-Fuse nucleus
http://purl.obolibrary.org/obo/DHBA_10886,layer IV of area 45r
http://purl.obolibrary.org/obo/DMBA_15839,posterior part of BSTLC
http://purl.obolibrary.org/obo/DMBA_15810,ventricular zone of SeStr
http://purl.obolibrary.org/obo/DMBA_17283,r5 part of basomedial reticular formation
http://purl.obolibrary.org/obo/DMBA_16581,mantle zone of CoPD
http://purl.obolibrary.org/obo/PBA_128012584,rostral migratory stream (RMS)
http://purl.obolibrary.org/obo/DHBA_12018,VZ in caudal entorhinal cortex
http://purl.obolibrary.org/obo/DMBA_16894,basointermediate isthmic reticular formation
http://purl.obolibrary.org/obo/DMBA_16042,sublayer 6a of OCx
http://purl.obolibrary.org/obo/HBA_4215,"superior occipital gyrus, left, inferior bank of gyrus"
http://purl.obolibrary.org/obo/MBA_217,Superior vestibular nucleus
http://purl.obolibrary.org/obo/DHBA_11354,layer III of caudal presubiculum
http://purl.obolibrary.org/obo/PBA_128012326,hippocampal plate of CA3
http://purl.obolibrary.org/obo/MBA_993,Secondary motor area
http://purl.obolibrary.org/obo/DHBA_10311,piriform cortex
http://purl.obolibrary.org/obo/DHBA_266441379,stratum pyramidale of uncal CA3
http://purl.obolibrary.org/obo/DHBA_12059,inferior thalamic peduncle
http://purl.obolibrary.org/obo/MBA_735,"Primary auditory area, layer 1"
http://purl.obolibrary.org/obo/DHBA_11395,layer III of laterorostral entorhinal cortex
http://purl.obolibrary.org/obo/MBA_182,propriohypothalamic pathways
http://purl.obolibrary.org/obo/HBA_9635,"peritrigeminal nucleus, right"
http://purl.obolibrary.org/obo/DMBA_17003,r1 basomedial central gray
http://purl.obolibrary.org/obo/DHBA_12880,dorsal intermedite medullary sulcus
http://purl.obolibrary.org/obo/MBA_776,corpus callosum
http://purl.obolibrary.org/obo/HBA_9573,"intercalated nucleus, left"
http://purl.obolibrary.org/obo/DMBA_17666,lateral (dorsal horn) part of the spinal alar plate
http://purl.obolibrary.org/obo/DHBA_10380,amygdalohippocampal transition area
http://purl.obolibrary.org/obo/HBA_4527,"habenular nuclei, right"
http://purl.obolibrary.org/obo/DHBA_146034690,area x of visual cortex
http://purl.obolibrary.org/obo/DHBA_12581,medial vestibular nucleus
http://purl.obolibrary.org/obo/DMBA_17433,mantle zone of r8Lim
http://purl.obolibrary.org/obo/HBA_265504620,"central nucleus, lateral division, right, central part"
http://purl.obolibrary.org/obo/DHBA_11729,CP in dysgranular insular cortex
http://purl.obolibrary.org/obo/DHBA_266441117,layer III of area 44d
http://purl.obolibrary.org/obo/DHBA_11425,layer I of caudal entorhinal cortex
http://purl.obolibrary.org/obo/DMBA_17371,r7 (gustatory) part of solitary complex
http://purl.obolibrary.org/obo/HBA_9517,"ambiguus nucleus, left"
http://purl.obolibrary.org/obo/DHBA_11126,layer IV of area TF
http://purl.obolibrary.org/obo/DMBA_16159,intermediate stratum of TTe
http://purl.obolibrary.org/obo/HBA_4029,"middle frontal gyrus, left"
http://purl.obolibrary.org/obo/DMBA_111220582,mantle zone of p3APV
http://purl.obolibrary.org/obo/DMBA_17783,optic chiasm
http://purl.obolibrary.org/obo/HBA_9399,central sulcus of insula
http://purl.obolibrary.org/obo/DMBA_16081,layer 4 of CCx
http://purl.obolibrary.org/obo/DHBA_12611,ventrolateral outgrowth of inferior olive
http://purl.obolibrary.org/obo/MBA_258,"Lateral septal nucleus, rostral (rostroventral) part"
http://purl.obolibrary.org/obo/HBA_9558,"hypoglossal nucleus, left"
