o,s,olabel,slabel,user_olabel,user_slabel
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15570,http://purl.obolibrary.org/obo/DMBA_15571
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16114,http://purl.obolibrary.org/obo/DMBA_16124
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17014,http://purl.obolibrary.org/obo/DMBA_17015
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16049,http://purl.obolibrary.org/obo/DMBA_16050
UBERON:0035895,UBERON:0035918,lateral visual area,"lateral visual area, layer 6a",http://purl.obolibrary.org/obo/MBA_409,http://purl.obolibrary.org/obo/MBA_74
UBERON:0002616,UBERON:0035918,regional part of brain,"lateral visual area, layer 6a",http://purl.obolibrary.org/obo/MBA_409,http://purl.obolibrary.org/obo/MBA_74
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16259,http://purl.obolibrary.org/obo/DMBA_16261
UBERON:0002616,UBERON:0001644,regional part of brain,trochlear nerve,http://purl.obolibrary.org/obo/MBA_967,http://purl.obolibrary.org/obo/MBA_911
UBERON:0001785,UBERON:0001644,cranial nerve,trochlear nerve,http://purl.obolibrary.org/obo/MBA_967,http://purl.obolibrary.org/obo/MBA_911
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17148,http://purl.obolibrary.org/obo/DMBA_17152
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15776,http://purl.obolibrary.org/obo/DMBA_15783
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15818,http://purl.obolibrary.org/obo/DMBA_111220540
UBERON:0002634,UBERON:0002616,anterior nucleus of hypothalamus,regional part of brain,http://purl.obolibrary.org/obo/MBA_88,http://purl.obolibrary.org/obo/MBA_700
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_88,http://purl.obolibrary.org/obo/MBA_700
UBERON:0002154,UBERON:0002616,lateral reticular nucleus,regional part of brain,http://purl.obolibrary.org/obo/MBA_235,http://purl.obolibrary.org/obo/MBA_955
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_235,http://purl.obolibrary.org/obo/MBA_955
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16800,http://purl.obolibrary.org/obo/DMBA_16803
UBERON:0002616,UBERON:0002191,regional part of brain,subiculum,http://purl.obolibrary.org/obo/DMBA_16114,http://purl.obolibrary.org/obo/DMBA_16163
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_111220876,http://purl.obolibrary.org/obo/DMBA_17489
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17735,http://purl.obolibrary.org/obo/DMBA_17800
