ID	Label	Subclass part of	Equivalent	SuperClass Label	Status	Approved by
http://purl.obolibrary.org/obo/MBA_78	middle cerebellar peduncle		http://purl.obolibrary.org/obo/UBERON_0002152	middle cerebellar peduncle 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_780	posterior amygdalar nucleus		http://purl.obolibrary.org/obo/UBERON_0022229	posterior amygdaloid nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_782	"dentate gyrus lateral blade, polymorph layer"	http://purl.obolibrary.org/obo/UBERON_0001885		dentate gyrus of hippocampal formation 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_783	"agranular insular area, dorsal part, layer 6a"	http://purl.obolibrary.org/obo/UBERON_0034893		agranular insular cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_790	"dentate gyrus lateral blade, granule cell layer"		http://purl.obolibrary.org/obo/UBERON_0005381	dentate gyrus granule cell layer 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_791	"posterior auditory area, layer 5"	http://purl.obolibrary.org/obo/UBERON_0001393		auditory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_793	"primary somatosensory area, layer 1"	http://purl.obolibrary.org/obo/UBERON_0008933		primary somatosensory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_799	dentate gyrus medial blade	http://purl.obolibrary.org/obo/UBERON_0001885		dentate gyrus of hippocampal formation 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_800	"agranular insular area, ventral part, layer 5"	http://purl.obolibrary.org/obo/UBERON_0034893		agranular insular cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_801	"visual areas, layer 1"	http://purl.obolibrary.org/obo/UBERON_0000411		visual cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_803	pallidum		http://purl.obolibrary.org/obo/UBERON_0006514	pallidum 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_805	"posteromedial visual area, layer 1"	http://purl.obolibrary.org/obo/UBERON_0035900		posteromedial visual area 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_806	"supplemental somatosensory area, layer 2/3"	http://purl.obolibrary.org/obo/UBERON_0008934		secondary somatosensory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_807	"dentate gyrus medial blade, molecular layer"	http://purl.obolibrary.org/obo/UBERON_0004679		dentate gyrus molecular layer 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_809	"pallidum, caudal region"	http://purl.obolibrary.org/obo/UBERON_0006514		pallidum 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_815	"dentate gyrus medial blade, polymorph layer"	http://purl.obolibrary.org/obo/UBERON_0001885		dentate gyrus of hippocampal formation 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_816	"primary auditory area, layer 4"	http://purl.obolibrary.org/obo/UBERON_0034751		primary auditory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_823	"dentate gyrus medial blade, granule cell layer"		http://purl.obolibrary.org/obo/UBERON_0005381	dentate gyrus granule cell layer 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_826	"pallidum, medial region"	http://purl.obolibrary.org/obo/UBERON_0006514		pallidum 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_829	"subiculum, dorsal part, molecular layer"	http://purl.obolibrary.org/obo/UBERON_0002191		subiculum 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_83	inferior olivary complex		http://purl.obolibrary.org/obo/UBERON_0002127	inferior olivary complex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_831	"agranular insular area, dorsal part, layer 6b"	http://purl.obolibrary.org/obo/UBERON_0034893		agranular insular cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_836	ectorhinal area/Layer 1	http://purl.obolibrary.org/obo/UBERON_0002728		entorhinal cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_837	"subiculum, dorsal part, stratum radiatum"	http://purl.obolibrary.org/obo/UBERON_0002191		subiculum 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_838	"primary somatosensory area, nose, layer 2/3"	http://purl.obolibrary.org/obo/UBERON_0008933		primary somatosensory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_839	dorsal motor nucleus of the vagus nerve		http://purl.obolibrary.org/obo/UBERON_0002870	dorsal motor nucleus of vagus nerve 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_841	trapezoid body		http://purl.obolibrary.org/obo/UBERON_0002932	trapezoid body 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_844	"primary motor area, Layer 6a"	http://purl.obolibrary.org/obo/UBERON_0001384		primary motor cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_845	"subiculum, dorsal part, pyramidal layer"	http://purl.obolibrary.org/obo/UBERON_0002191		subiculum 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_846	dentate nucleus		http://purl.obolibrary.org/obo/UBERON_0002132	dentate nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_847	"primary auditory area, layer 5"	http://purl.obolibrary.org/obo/UBERON_0034751		primary auditory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_848	optic nerve		http://purl.obolibrary.org/obo/UBERON_0000941	cranial nerve II 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_853	"subiculum, ventral part, molecular layer"	http://purl.obolibrary.org/obo/UBERON_0002191		subiculum 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_854	"primary somatosensory area, upper limb, layer 2/3"	http://purl.obolibrary.org/obo/UBERON_0008933		primary somatosensory cortex 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/MBA_859	parasolitary nucleus		http://purl.obolibrary.org/obo/UBERON_0002877	parasolitary nucleus 	Verified	https://ror.org/03cpe7c52
