?supname	?sup	?subname	?sub	?inferred
"CA2 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014551>	"Field CA2, stratum oriens"	<http://purl.obolibrary.org/obo/MBA_438>	"true"
"CA2 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014551>	"stratum oriens of CA2"	<http://purl.obolibrary.org/obo/PBA_10064>	"true"
"CA2 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014555>	"Field CA2, stratum radiatum"	<http://purl.obolibrary.org/obo/DMBA_16140>	"true"
"CA2 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014555>	"Field CA2, stratum radiatum"	<http://purl.obolibrary.org/obo/MBA_454>	"true"
"CA2 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014555>	"stratum radiatum of CA2"	<http://purl.obolibrary.org/obo/PBA_10066>	"true"
"CA3 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003883>	"CA3 region of Hipp"	<http://purl.obolibrary.org/obo/DHBA_10299>	
"CA3 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003883>	"CA3 field"	<http://purl.obolibrary.org/obo/HBA_12894>	
"CA3 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003883>	"Field CA3"	<http://purl.obolibrary.org/obo/DMBA_16141>	"true"
"CA3 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003883>	"Field CA3"	<http://purl.obolibrary.org/obo/MBA_463>	"true"
"CA3 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003883>	"CA3 region"	<http://purl.obolibrary.org/obo/PBA_10068>	"true"
"CA3 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014559>	"Field CA3, stratum lacunosum-moleculare"	<http://purl.obolibrary.org/obo/DMBA_16146>	"true"
"CA3 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014559>	"Field CA3, stratum lacunosum-moleculare"	<http://purl.obolibrary.org/obo/MBA_471>	"true"
"CA3 stratum lacunosum moleculare"	<http://purl.obolibrary.org/obo/UBERON_0014559>	"stratum lacunosum-moleculare of CA3"	<http://purl.obolibrary.org/obo/PBA_10073>	"true"
"CA3 stratum lucidum"	<http://purl.obolibrary.org/obo/UBERON_0014560>	"Field CA3, stratum lucidum"	<http://purl.obolibrary.org/obo/DMBA_16144>	"true"
"CA3 stratum lucidum"	<http://purl.obolibrary.org/obo/UBERON_0014560>	"Field CA3, stratum lucidum"	<http://purl.obolibrary.org/obo/MBA_479>	"true"
"CA3 stratum lucidum"	<http://purl.obolibrary.org/obo/UBERON_0014560>	"hippocampal stratum lucidum of CA3"	<http://purl.obolibrary.org/obo/PBA_10071>	"true"
"CA3 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014553>	"Field CA3, stratum oriens"	<http://purl.obolibrary.org/obo/DMBA_16142>	"true"
"CA3 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014553>	"Field CA3, stratum oriens"	<http://purl.obolibrary.org/obo/MBA_486>	"true"
"CA3 stratum oriens"	<http://purl.obolibrary.org/obo/UBERON_0014553>	"stratum oriens of CA3"	<http://purl.obolibrary.org/obo/PBA_10069>	"true"
"CA3 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014556>	"Field CA3, stratum radiatum"	<http://purl.obolibrary.org/obo/DMBA_16145>	"true"
"CA3 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014556>	"Field CA3, stratum radiatum"	<http://purl.obolibrary.org/obo/MBA_504>	"true"
"CA3 stratum radiatum"	<http://purl.obolibrary.org/obo/UBERON_0014556>	"stratum radiatum of CA3"	<http://purl.obolibrary.org/obo/PBA_10072>	"true"
"CA4 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003884>	"CA4 region of Hipp"	<http://purl.obolibrary.org/obo/DHBA_10300>	
"CA4 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003884>	"CA4 field"	<http://purl.obolibrary.org/obo/HBA_12895>	
"CA4 field of hippocampus"	<http://purl.obolibrary.org/obo/UBERON_0003884>	"CA4 region"	<http://purl.obolibrary.org/obo/PBA_10074>	"true"
